,index,Fos_puncta_adj,Gad2_puncta_adj,IL34_puncta_adj,fos_status,cell_type,animal_id,image_number
38,D05_A01_G002_0001.xls,12.065600813014116,0.0,12.065600813014116,fos+,VGlut1,D05,2
39,D05_A01_G002_0001.xls,13.102810558462915,1.6378513198078644,6.551405279231457,fos+,VGlut1,D05,2
40,D05_A01_G002_0001.xls,18.55639511419741,0.0,16.494573434842142,fos+,VGlut1,D05,2
41,D05_A01_G002_0001.xls,27.436349143618838,0.0,18.290899429079225,fos+,VGlut1,D05,2
42,D05_A01_G002_0001.xls,13.529419633810534,0.0,12.176477670429481,fos+,VGlut1,D05,2
43,D05_A01_G002_0001.xls,9.497722146642882,37.99088858657153,1.8995444293285764,fos+,Gad2,D05,2
44,D05_A01_G002_0001.xls,20.5382670636596,0.0,14.37678694456172,fos+,VGlut1,D05,2
45,D05_A01_G002_0001.xls,16.65138147941902,0.6404377492084238,10.24700398733478,fos+,VGlut1,D05,2
46,D05_A01_G002_0001.xls,19.485580328787872,0.0,18.460023469377983,fos+,VGlut1,D05,2
47,D05_A01_G002_0001.xls,11.28684130419713,19.751972282344976,8.46513097814785,fos+,Gad2,D05,2
49,D05_A01_G002_0001.xls,33.84901290791118,1.3539605163164472,17.601486712113815,fos+,VGlut1,D05,2
50,D05_A01_G002_0001.xls,18.545727034607975,0.0,18.545727034607975,fos+,VGlut1,D05,2
51,D05_A01_G002_0001.xls,13.014393649012872,39.04318094703862,3.54938008609442,fos+,Gad2,D05,2
52,D05_A01_G002_0001.xls,12.588143028011578,2.098023838001929,15.735178785014469,fos+,VGlut1,D05,2
53,D05_A01_G002_0001.xls,21.833190282459714,0.0,18.036113711597157,fos+,VGlut1,D05,2
54,D05_A01_G002_0001.xls,19.211818005050855,29.382780478313073,4.520427765894319,fos+,Gad2,D05,2
55,D05_A01_G002_0001.xls,18.24974197393478,1.0735142337608694,15.029199272652171,fos+,VGlut1,D05,2
56,D05_A01_G002_0001.xls,21.218708714598613,0.0,7.072902904866203,fos+,VGlut1,D05,2
57,D05_A01_G002_0001.xls,20.266061059763903,38.3988525342895,14.93288709666814,fos+,Gad2,D05,2
58,D05_A01_G002_0001.xls,11.441320807749987,0.0,12.871485908718734,fos+,VGlut1,D05,2
59,D05_A01_G002_0001.xls,18.933920801305014,0.9965221474371061,8.968699326933956,fos+,VGlut1,D05,2
61,D05_A01_G002_0001.xls,19.085831686122877,0.0,14.844535755873347,fos+,VGlut1,D05,2
62,D05_A01_G002_0001.xls,12.279581732743118,2.4559163465486233,17.191414425840364,fos+,VGlut1,D05,2
63,D05_A01_G002_0001.xls,20.75119214230981,3.7729440258745113,18.864720129372557,fos+,VGlut1,D05,2
64,D05_A01_G002_0001.xls,14.234368388998599,0.0,10.67577629174895,fos+,VGlut1,D05,2
65,D05_A01_G002_0001.xls,16.530883790345467,24.796325685518198,26.173899334713653,fos+,Gad2,D05,2
66,D05_A01_G002_0001.xls,28.617390863883994,0.0,7.1543477159709985,fos+,VGlut1,D05,2
67,D05_A01_G002_0001.xls,22.009706221335513,0.0,13.205823732801306,fos+,VGlut1,D05,2
68,D05_A01_G002_0001.xls,19.32464243396136,0.0,25.122035164149768,fos+,VGlut1,D05,2
69,D05_A01_G002_0001.xls,18.23292833025816,0.0,15.854720287181008,fos+,VGlut1,D05,2
70,D05_A01_G002_0001.xls,28.65710604227665,0.0,13.755410900292791,fos+,VGlut1,D05,2
71,D05_A01_G002_0001.xls,14.491097207081195,18.51640198682597,3.2202438237958213,fos+,Gad2,D05,2
72,D05_A01_G002_0001.xls,20.151359317530133,0.0,17.91231939336012,fos+,VGlut1,D05,2
73,D05_A01_G002_0001.xls,17.12730932058323,6.116896185922581,14.680550846214196,fos+,VGlut1,D05,2
74,D05_A01_G002_0001.xls,16.226785437060915,0.0,12.170089077795687,fos+,VGlut1,D05,2
0,D05_A01_G003_0001.xls,6.416261212009186,0.0,10.693768686681976,fos+,VGlut1,D05,3
1,D05_A01_G003_0001.xls,8.53621041414805,0.0,10.670263017685063,fos+,VGlut1,D05,3
2,D05_A01_G003_0001.xls,11.900071550858812,40.98913534184702,6.6111508615882295,fos+,Gad2,D05,3
4,D05_A01_G003_0001.xls,14.536309665805282,1.8170387082256603,19.987425790482263,fos+,VGlut1,D05,3
5,D05_A01_G003_0001.xls,11.187684260661298,0.0,13.425221112793558,fos+,VGlut1,D05,3
6,D05_A01_G003_0001.xls,11.862547894747511,18.25007368422694,12.775051578958859,fos+,Gad2,D05,3
8,D05_A01_G003_0001.xls,9.618367183251278,3.606887693719229,8.416071285344868,fos+,VGlut1,D05,3
9,D05_A01_G003_0001.xls,13.022917168419381,52.091668673677525,3.720833476691251,fos+,Gad2,D05,3
10,D05_A01_G003_0001.xls,11.591246450125187,48.020878150518634,19.870708200214604,fos+,Gad2,D05,3
11,D05_A01_G003_0001.xls,9.9240613057918,1.9848122611583605,11.908873566950163,fos+,VGlut1,D05,3
12,D05_A01_G003_0001.xls,17.986023267940592,0.0,14.715837219224118,fos+,VGlut1,D05,3
13,D05_A01_G003_0001.xls,9.06295582181162,0.0,18.949816718333388,fos+,VGlut1,D05,3
14,D05_A01_G003_0001.xls,12.065387566700592,29.301655519130005,6.894507180971766,fos+,Gad2,D05,3
15,D05_A01_G003_0001.xls,15.56010002602214,0.0,21.051900035206423,fos+,VGlut1,D05,3
16,D05_A01_G003_0001.xls,18.467732754413195,0.0,27.70159913161979,fos+,VGlut1,D05,3
17,D05_A01_G003_0001.xls,10.657685519730078,1.3322106899662598,19.983160349493897,fos+,VGlut1,D05,3
19,D05_A01_G003_0001.xls,16.104673387140814,0.0,23.262306003647844,fos+,VGlut1,D05,3
20,D05_A01_G003_0001.xls,20.512039072458354,0.0,8.790873888196437,fos+,VGlut1,D05,3
21,D05_A01_G003_0001.xls,17.130437396506004,0.0,12.847828047379501,fos+,VGlut1,D05,3
22,D05_A01_G003_0001.xls,9.485236054086224,0.0,26.084399148737116,fos+,VGlut1,D05,3
23,D05_A01_G003_0001.xls,8.534524610726914,0.0,17.069049221453827,fos+,VGlut1,D05,3
24,D05_A01_G003_0001.xls,6.855450672797097,0.0,9.140600897062798,fos+,VGlut1,D05,3
25,D05_A01_G003_0001.xls,18.336464075236293,0.0,7.858484603672697,fos+,VGlut1,D05,3
27,D05_A01_G003_0001.xls,11.475829710753152,1.912638285125525,5.737914855376576,fos+,VGlut1,D05,3
28,D05_A01_G003_0001.xls,13.869155369416188,0.0,6.16406905307386,fos+,VGlut1,D05,3
29,D05_A01_G003_0001.xls,20.973593868961764,52.43398467240441,2.097359386896176,fos+,Gad2,D05,3
31,D05_A01_G003_0001.xls,24.16560608432261,0.0,21.144905323782286,fos+,VGlut1,D05,3
32,D05_A01_G003_0001.xls,8.35184651239106,2.087961628097765,12.52776976858659,fos+,VGlut1,D05,3
33,D05_A01_G003_0001.xls,8.657521419888468,19.479423194749053,2.164380354972117,fos+,Gad2,D05,3
34,D05_A01_G003_0001.xls,6.9495020103249985,15.288904422714998,1.3899004020649997,fos+,Gad2,D05,3
36,D05_A01_G003_0001.xls,7.1691197268873434,0.0,11.265759570822967,fos+,VGlut1,D05,3
37,D05_A01_G003_0001.xls,26.490287138659927,0.0,18.124933305398898,fos+,VGlut1,D05,3
